Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	1.01	1.04	1.02	1.03	1.17	0.86	0.98	1.02	0.99	1.14	1.26	1.22	1.12	1.24	1.13	1.16	1.2
Th106.09	0.99	NA	1.14	1.16	1.86	1.09	0.53	1.17	0.77	1	1.05	1.22	1.26	1.13	1.21	1.13	1.15	1.16
Th106.11	0.96	0.88	NA	1.89	0.95	1.75	0.85	0.93	0.96	0.96	1.06	1.18	1.16	1.02	1.13	1.1	1.07	1.13
Th117.11	0.98	0.86	0.53	NA	0.92	0.67	0.8	0.94	0.86	0.87	0.98	1.08	1.08	0.99	1.12	1.03	1.05	1.09
Th132.11	0.97	0.54	1.05	1.08	NA	1.11	0.64	0.73	0.9	0.93	1.04	1.16	1.19	1.02	1.21	1.09	1.12	1.12
Th134.11	0.86	0.92	0.57	1.5	0.9	NA	0.85	0.95	0.95	0.92	0.98	1.16	1.12	1	1.1	1.05	1.07	1.08
Th162.12	1.16	1.89	1.17	1.25	1.56	1.18	NA	1.9	1.7	1.67	1.14	1.26	1.29	1.15	1.29	1.19	1.19	1.18
Th196.12	1.02	0.86	1.08	1.06	1.36	1.05	0.53	NA	0.77	1.31	1.06	1.21	1.18	1.06	1.2	1.1	1.15	1.18
Th230.12	0.98	1.3	1.05	1.16	1.11	1.05	0.59	1.3	NA	1.15	1.11	1.23	1.21	1.09	1.29	1.12	1.16	1.17
Th074.13	1.01	1	1.05	1.16	1.08	1.09	0.6	0.76	0.87	NA	1.08	1.19	1.25	1.11	1.22	1.14	1.17	1.22
Th166.12	0.88	0.95	0.95	1.02	0.96	1.02	0.88	0.95	0.9	0.93	NA	1.25	1.39	1.03	1.38	1.05	1.11	1.17
Th092.13	0.79	0.82	0.85	0.92	0.86	0.87	0.79	0.82	0.81	0.84	0.8	NA	0.88	0.82	1	0.95	0.99	0.97
Th211.13	0.82	0.79	0.86	0.92	0.84	0.89	0.78	0.85	0.82	0.8	0.72	1.14	NA	0.81	1.12	0.9	1.01	1.03
Th245.13	0.9	0.89	0.98	1.01	0.98	1	0.87	0.95	0.91	0.9	0.97	1.23	1.24	NA	1.27	1.01	1.11	1.13
Th246.13	0.81	0.83	0.88	0.9	0.83	0.91	0.77	0.84	0.78	0.82	0.72	1	0.9	0.79	NA	0.89	1	0.98
Th068.12	0.89	0.88	0.91	0.97	0.92	0.95	0.84	0.91	0.9	0.87	0.95	1.05	1.12	0.99	1.12	NA	1.17	1.25
Th061.13	0.86	0.87	0.93	0.96	0.89	0.94	0.84	0.87	0.86	0.86	0.9	1.01	0.99	0.9	1	0.85	NA	1
Th095.13	0.83	0.86	0.89	0.91	0.89	0.93	0.84	0.84	0.85	0.82	0.86	1.03	0.97	0.88	1.02	0.8	1	NA
